No Starve Users Export (2025-11-17T12:32:56+00:00)
id=2, username=NGO Lead, email=ngo@nostrv.com, phone=, address=, admin=no, created_at=2025-11-10 13:32:46
id=3, username=Volunteer, email=volunteer@nostrv.com, phone=, address=, admin=no, created_at=2025-11-10 13:32:46
id=4, username=Yash, email=yash@nostrv.com, phone=9000000002, address=, admin=yes, created_at=2025-11-10 13:32:46
id=5, username=Prit, email=prit@nostrv.com, phone=+91 98765 43210, address=Jesar Taluka, Bhavnagar, Gujarat, 364510, India, admin=yes, created_at=2025-11-10 13:32:46
id=6, username=Meet, email=meet@nostrv.com, phone=9000000004, address=, admin=yes, created_at=2025-11-10 13:32:46
id=7, username=Drashti, email=drashti@nostrv.com, phone=9000000005, address=, admin=no, created_at=2025-11-10 13:32:46
id=8, username=Saloni, email=saloni@nostrv.com, phone=9000000006, address=, admin=no, created_at=2025-11-10 13:32:46
id=9, username=Hinal, email=hinal@nostrv.com, phone=9000000007, address=, admin=no, created_at=2025-11-10 13:32:46
id=10, username=Jay, email=jay@nostrv.com, phone=9000000008, address=, admin=yes, created_at=2025-11-10 13:32:46
id=11, username=Darshana, email=darshana@nostrv.com, phone=9000000009, address=, admin=no, created_at=2025-11-10 13:32:46
id=12, username=Hardik, email=hardik@nostrv.com, phone=9000000010, address=, admin=yes, created_at=2025-11-10 13:32:46
id=13, username=Janvi, email=janvi@nostrv.com, phone=9000000011, address=, admin=no, created_at=2025-11-10 13:32:46
id=14, username=Ronak, email=ronak@nostrv.com, phone=9000000012, address=, admin=yes, created_at=2025-11-10 13:32:46
id=15, username=Naman, email=naman@nostrv.com, phone=9000000013, address=, admin=yes, created_at=2025-11-10 13:32:46
id=16, username=Khyati, email=khyati@nostrv.com, phone=9000000014, address=, admin=no, created_at=2025-11-10 13:32:46
id=17, username=Sikha, email=sikha@nostrv.com, phone=9000000015, address=, admin=no, created_at=2025-11-10 13:32:46
id=18, username=Minal, email=minal@nostrv.com, phone=9000000016, address=, admin=no, created_at=2025-11-10 13:32:46
id=19, username=Milan, email=milan@nostrv.com, phone=9000000017, address=, admin=yes, created_at=2025-11-10 13:32:46
id=20, username=Kaushik, email=kaushik@nostrv.com, phone=9000000018, address=, admin=yes, created_at=2025-11-10 13:32:46
id=21, username=Smit, email=smit@nostrv.com, phone=9000000019, address=, admin=yes, created_at=2025-11-10 13:32:46
id=22, username=Ravina, email=ravina@nostrv.com, phone=9000000020, address=, admin=no, created_at=2025-11-10 13:32:46
id=23, username=Priti, email=priti@nostrv.com, phone=9000000021, address=, admin=no, created_at=2025-11-10 13:32:46
id=24, username=Hetal, email=hetal@nostrv.com, phone=9000000022, address=, admin=no, created_at=2025-11-10 13:32:46
id=25, username=Pooja, email=pooja@nostrv.com, phone=9000000023, address=, admin=no, created_at=2025-11-10 13:32:46
id=26, username=Kishan, email=kishan@nostrv.com, phone=9000000024, address=, admin=yes, created_at=2025-11-10 13:32:46
id=27, username=Akshar, email=akshar@nostrv.com, phone=9000000025, address=, admin=yes, created_at=2025-11-10 13:32:46
id=28, username=Akshay, email=akshay@nostrv.com, phone=9000000026, address=, admin=yes, created_at=2025-11-10 13:32:46
id=29, username=Radhika, email=radhika@nostrv.com, phone=9000000027, address=, admin=no, created_at=2025-11-10 13:32:46
id=30, username=Riya, email=riya@nostrv.com, phone=9000000028, address=, admin=no, created_at=2025-11-10 13:32:46
id=31, username=Komal, email=komal@nostrv.com, phone=9000000029, address=, admin=no, created_at=2025-11-10 13:32:46
id=32, username=Mihir, email=mihir@nostrv.com, phone=9000000030, address=, admin=yes, created_at=2025-11-10 13:32:46
id=33, username=kunjal, email=kunjal@nostrv.com, phone=9000000031, address=, admin=yes, created_at=2025-11-10 13:32:46
